ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2024,11560,영등포구,10200,영등포동1가,1,대지,0121,0005,여의도리슈빌DS,20240130,20600,21.41,31.43,7.0,,,2020,오피스텔,중개거래,서울 영등포구
2024,11740,강동구,10900,천호동,1,대지,0090,0002,도우빌라,20240130,36700,48.69,46.66,-1.0,,,1991,연립다세대,중개거래,서울 강동구
2024,11320,도봉구,10800,도봉동,1,대지,0051,0012,중흥에스-클래스,20240130,55000,85.0,0.0,3.0,,,2004,아파트,중개거래,서울 도봉구
2024,11545,금천구,10200,독산동,1,대지,1006,0115,중앙하이빌1동2동,20240130,23000,28.68,14.88,4.0,,,2016,연립다세대,직거래,
2024,11590,동작구,10300,상도1동,1,대지,0419,0003,종로빌리지,20240130,40000,69.13,48.37,3.0,,,1991,연립다세대,중개거래,서울 강남구
2024,11590,동작구,10700,사당동,1,대지,0321,0025,에덴빌,20240130,55000,83.38,47.27,4.0,,,2008,연립다세대,직거래,
2024,11500,강서구,10300,화곡동,1,대지,0867,0002,더하우스,20240130,18700,29.86,27.82,5.0,,,2017,연립다세대,직거래,
2024,11530,구로구,10200,구로동,1,대지,0166,0034,유니아트빌,20240130,36500,52.17,26.25,2.0,,,2019,연립다세대,중개거래,서울 구로구
2024,11560,영등포구,10200,영등포동1가,1,대지,0127,0000,신한헤스티아,20240130,12000,18.01,28.65,9.0,,20240130,2016,오피스텔,직거래,
2024,11410,서대문구,10300,합동,1,대지,0116,0000,SK리쳄블,20240130,22000,34.22,46.81,6.0,,,2005,오피스텔,직거래,
2024,11530,구로구,10200,구로동,1,대지,0166,0034,유니아트빌,20240130,28000,52.17,26.25,2.0,,20240130,2019,연립다세대,중개거래,서울 구로구
2024,11740,강동구,10500,길동,1,대지,0343,0002,현대웰하임(201동),20240130,8000,14.47,0.0,2.0,,,2012,아파트,중개거래,서울 강동구
2024,11710,송파구,11300,거여동,1,대지,0178,0006,인투파크거여,20240130,27000,23.32,11.0,2.0,,,2020,연립다세대,중개거래,서울 송파구
2024,11560,영등포구,12800,양평동4가,1,대지,0257,0000,양화빌4차,20240130,28000,25.57,16.2,5.0,,,2016,연립다세대,중개거래,서울 영등포구
2024,11140,중구,17400,만리동2가,1,대지,0176,0001,서울역센트럴자이,20240130,185000,89.9,0.0,3.0,,,2017,아파트,중개거래,서울 용산구
2024,11530,구로구,10700,개봉동,1,대지,0108,0019,혜성팰리스,20240130,20800,22.1,13.84,7.0,,,2019,연립다세대,직거래,
2024,11110,종로구,16600,연건동,1,대지,0101,0000,예림주택,20240129,16500,30.3,11.44,-1.0,,,2000,연립다세대,직거래,
2024,11710,송파구,10200,신천동,1,대지,0017,0000,파크리오,20240129,200000,84.9,0.0,19.0,,,2008,아파트,직거래,
2024,11200,성동구,12200,용답동,1,대지,0121,0000,청계 SK VIEW,20240129,95815,59.87,0.0,34.0,입주권,,0,아파트,직거래,
2024,11140,중구,16200,신당동,1,대지,0140,0023,신당역솔하임,20240129,17000,14.08,0.0,14.0,,,2016,아파트,중개거래,서울 중구
2024,11530,구로구,10200,구로동,1,대지,0097,0000,로제리움2차,20240129,10000,19.74,27.82,6.0,,,2014,오피스텔,중개거래,서울 구로구
2024,11410,서대문구,10300,합동,1,대지,0116,0000,SK리쳄블,20240129,26400,41.57,56.87,12.0,,,2005,오피스텔,중개거래,"서울 서대문구, 서울 중구"
2024,11200,성동구,10400,도선동,1,대지,0257,0000,왕십리렉스프리미엄오피스텔,20240129,24500,18.63,27.45,9.0,,,2020,오피스텔,중개거래,서울 성동구
2024,11290,성북구,13500,종암동,1,대지,0128,0000,극동,20240129,76000,114.75,0.0,12.0,,,2000,아파트,중개거래,서울 성북구
2024,11290,성북구,13500,종암동,1,대지,0128,0000,극동,20240129,63000,59.67,0.0,6.0,,,2000,아파트,중개거래,서울 성북구
2024,11230,동대문구,10400,전농동,1,대지,0127,0038,현대캐슬(127-38),20240129,40000,29.91,18.19,6.0,,,2018,연립다세대,중개거래,서울 동대문구
2024,11500,강서구,10300,화곡동,1,대지,0056,0347,화성빌라(56-347),20240129,16850,42.0,20.24,4.0,,,2002,연립다세대,중개거래,서울 강서구
2024,11620,관악구,10200,신림동,1,대지,1726,0000,우정하이비전2,20240129,70000,84.58,0.0,12.0,,,2004,아파트,중개거래,서울 관악구
